id,label,name
C_100_der,6,image_train_out_day_C_100_der.jpg
C_100_izq,2,image_train_out_day_C_100_izq.jpg
C_101_der,1,image_train_out_day_C_101_der.jpg
C_101_izq,2,image_train_out_day_C_101_izq.jpg
C_104_der,1,image_train_out_day_C_104_der.jpg
C_104_izq,2,image_train_out_day_C_104_izq.jpg
C_107_der,1,image_train_out_day_C_107_der.jpg
C_107_izq,0,image_train_out_day_C_107_izq.jpg
C_108_der,4,image_train_out_day_C_108_der.jpg
C_108_izq,2,image_train_out_day_C_108_izq.jpg
C_109_der,3,image_train_out_day_C_109_der.jpg
C_109_izq,2,image_train_out_day_C_109_izq.jpg
C_10_der,3,image_train_out_day_C_10_der.jpg
C_10_izq,2,image_train_out_day_C_10_izq.jpg
C_112_der,6,image_train_out_day_C_112_der.jpg
C_112_izq,0,image_train_out_day_C_112_izq.jpg
C_113_der,4,image_train_out_day_C_113_der.jpg
C_113_izq,1,image_train_out_day_C_113_izq.jpg
C_114_der,5,image_train_out_day_C_114_der.jpg
C_114_izq,1,image_train_out_day_C_114_izq.jpg
C_116_der,0,image_train_out_day_C_116_der.jpg
C_116_izq,2,image_train_out_day_C_116_izq.jpg
C_118_der,4,image_train_out_day_C_118_der.jpg
C_118_izq,1,image_train_out_day_C_118_izq.jpg
C_119_der,0,image_train_out_day_C_119_der.jpg
C_119_izq,2,image_train_out_day_C_119_izq.jpg
C_120_der,2,image_train_out_day_C_120_der.jpg
C_120_izq,2,image_train_out_day_C_120_izq.jpg
C_121_der,4,image_train_out_day_C_121_der.jpg
C_121_izq,1,image_train_out_day_C_121_izq.jpg
C_122_der,0,image_train_out_day_C_122_der.jpg
C_122_izq,2,image_train_out_day_C_122_izq.jpg
C_124_der,2,image_train_out_day_C_124_der.jpg
C_124_izq,2,image_train_out_day_C_124_izq.jpg
C_125_der,7,image_train_out_day_C_125_der.jpg
C_125_izq,1,image_train_out_day_C_125_izq.jpg
C_128_none,10,image_train_out_day_C_128_der.jpg
C_128_izq,4,image_train_out_day_C_128_izq.jpg
C_12_der,7,image_train_out_day_C_12_der.jpg
C_12_izq,2,image_train_out_day_C_12_izq.jpg
C_130_der,7,image_train_out_day_C_130_der.jpg
C_130_izq,0,image_train_out_day_C_130_izq.jpg
C_131_der,8,image_train_out_day_C_131_der.jpg
C_131_izq,0,image_train_out_day_C_131_izq.jpg
C_132_der,9,image_train_out_day_C_132_der.jpg
C_132_izq,2,image_train_out_day_C_132_izq.jpg
C_134_der,3,image_train_out_day_C_134_der.jpg
C_134_izq,2,image_train_out_day_C_134_izq.jpg
C_136_der,2,image_train_out_day_C_136_der.jpg
C_136_izq,1,image_train_out_day_C_136_izq.jpg
C_137_der,7,image_train_out_day_C_137_der.jpg
C_137_izq,0,image_train_out_day_C_137_izq.jpg
C_138_der,9,image_train_out_day_C_138_der.jpg
C_138_izq,0,image_train_out_day_C_138_izq.jpg
C_139_der,3,image_train_out_day_C_139_der.jpg
C_139_izq,2,image_train_out_day_C_139_izq.jpg
C_13_der,6,image_train_out_day_C_13_der.jpg
C_13_izq,2,image_train_out_day_C_13_izq.jpg
C_140_der,8,image_train_out_day_C_140_der.jpg
C_140_izq,1,image_train_out_day_C_140_izq.jpg
C_141_der,4,image_train_out_day_C_141_der.jpg
C_141_izq,2,image_train_out_day_C_141_izq.jpg
C_142_none,10,image_train_out_day_C_142_der.jpg
C_142_izq,6,image_train_out_day_C_142_izq.jpg
C_143_der,6,image_train_out_day_C_143_der.jpg
C_143_izq,2,image_train_out_day_C_143_izq.jpg
C_145_der,8,image_train_out_day_C_145_der.jpg
C_145_izq,1,image_train_out_day_C_145_izq.jpg
C_146_der,3,image_train_out_day_C_146_der.jpg
C_146_izq,1,image_train_out_day_C_146_izq.jpg
C_147_der,3,image_train_out_day_C_147_der.jpg
C_147_izq,0,image_train_out_day_C_147_izq.jpg
C_149_none,10,image_train_out_day_C_149_der.jpg
C_149_izq,6,image_train_out_day_C_149_izq.jpg
C_14_der,3,image_train_out_day_C_14_der.jpg
C_14_izq,1,image_train_out_day_C_14_izq.jpg
C_150_der,1,image_train_out_day_C_150_der.jpg
C_150_izq,0,image_train_out_day_C_150_izq.jpg
C_151_der,5,image_train_out_day_C_151_der.jpg
C_151_izq,2,image_train_out_day_C_151_izq.jpg
C_154_der,5,image_train_out_day_C_154_der.jpg
C_154_izq,0,image_train_out_day_C_154_izq.jpg
C_155_der,2,image_train_out_day_C_155_der.jpg
C_155_izq,0,image_train_out_day_C_155_izq.jpg
C_157_der,1,image_train_out_day_C_157_der.jpg
C_157_izq,2,image_train_out_day_C_157_izq.jpg
C_158_der,0,image_train_out_day_C_158_der.jpg
C_158_izq,3,image_train_out_day_C_158_izq.jpg
C_159_none,10,image_train_out_day_C_159_der.jpg
C_159_izq,0,image_train_out_day_C_159_izq.jpg
C_15_der,8,image_train_out_day_C_15_der.jpg
C_15_izq,0,image_train_out_day_C_15_izq.jpg
C_161_der,2,image_train_out_day_C_161_der.jpg
C_161_izq,2,image_train_out_day_C_161_izq.jpg
C_162_none,10,image_train_out_day_C_162_der.jpg
C_162_izq,0,image_train_out_day_C_162_izq.jpg
C_163_der,5,image_train_out_day_C_163_der.jpg
C_163_izq,0,image_train_out_day_C_163_izq.jpg
C_164_der,5,image_train_out_day_C_164_der.jpg
C_164_izq,0,image_train_out_day_C_164_izq.jpg
C_169_der,4,image_train_out_day_C_169_der.jpg
